"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"J.P. Arencibia","Rangers","1.0","0.50","0.00","0","1.00","3.13","6.84","180","7.94","81","697"
"Pedro Beato","Braves","4.1","0.66","0.00","0","3.27","3.82","6.11","166","5.77","106","1330"
"Curtis Partch","Reds","7.0","3.76","0.00","0","4.38","4.42","5.65","154","6.03","116","1333"
"Lyle Overbay","Brewers","0.1","0.43","0.00","0","0.83","3.13","6.84","186","12.78","81","1617"
"Joe Savery","Athletics","4.0","1.79","0.00","0","3.63","3.88","5.43","143","5.89","104","2835"
"Drake Britton","Red Sox","6.2","2.42","0.00","0","3.12","2.83","4.50","119","4.31","77","2868"
"Mitch Moreland","Rangers","1.0","0.66","0.00","0","6.26","3.13","4.37","115","5.56","81","3086"
"Skip Schumaker","Reds","1.0","0.41","0.00","0","4.51","6.13","8.60","234","9.90","161","3704"
"Kyle Drabek","Blue Jays","3.0","1.40","0.00","0","0.53","1.80","3.86","102","2.98","47","4359"
"Steve Tolleson","Blue Jays","1.0","0.36","0.00","0","1.77","1.13","3.60","95","3.98","30","4450"
"John Baker","Cubs","1.0","0.43","0.00","0","4.31","6.13","7.37","200","11.25","166","4756"
"Jose Alvarez","Angels","0.2","-0.29","0.00","0","-0.35","0.13","1.99","53","1.40","4","5358"
"Jorge Rondon","Cardinals","1.0","0.43","0.00","0","10.12","6.13","7.37","200","9.30","169","5791"
"Martin Maldonado","Brewers","1.0","0.44","0.00","0","19.12","3.13","3.13","85","4.68","81","6887"
"Chris Gimenez","Rangers","1.0","0.50","0.00","0","-0.39","1.13","2.37","63","1.40","30","7324"
"Hunter Strickland","Giants","7.0","3.98","0.00","0","1.05","0.56","1.09","29","0.77","15","7836"
"Ramon Ramirez","Orioles","1.0","0.43","0.00","0","1.57","2.13","2.13","57","3.37","55","7986"
"Daniel Descalso","Cardinals","0.1","0.20","0.00","0","0.78","3.13","6.84","186","12.78","86","8392"
"Wilking Rodriguez","Royals","2.0","0.88","0.00","0","3.92","3.63","6.10","161","7.32","97","8801"
"David Carpenter","Angels","3.0","1.34","0.00","0","4.32","5.13","6.78","178","5.33","140","9244"
"Ryan Buchter","Braves","1.0","0.44","0.00","0","3.84","4.13","4.13","112","6.41","115","9456"
"Melvin Mercedes","Tigers","2.0","1.03","0.00","0","-0.30","1.13","1.75","47","0.66","30","10181"
"Stephen Pryor","Mariners","1.2","-1.55","0.00","0","5.97","5.53","6.27","165","6.94","150","10663"
"Jake Dunning","Giants","0.2","-1.50","0.00","0","9.93","7.63","9.49","258","17.44","221","10803"
"Hector Neris","Phillies","1.0","0.42","0.00","0","-0.37","1.13","2.37","64","1.40","30","11804"
"Carson Smith","Mariners","8.1","3.88","0.00","0","1.02","1.81","2.11","56","1.59","50","13172"
"Chasen Shreve","Braves","12.1","3.65","0.73","20","1.51","1.43","2.53","68","2.19","39","10855"
"Tom Gorzelanny","Brewers","21.0","-0.92","0.86","23","3.45","2.99","3.67","99","3.11","78","6244"
"Jason Lane","Padres","10.1","2.72","0.87","25","3.78","3.23","3.17","86","3.33","88","1397"
"Matt Albers","Astros","10.0","2.20","0.90","23","3.74","2.73","3.47","92","3.11","71","4300"
"Tom Layne","Red Sox","19.0","0.35","0.95","24","4.69","3.08","3.93","104","3.86","83","7501"
"Spencer Patton","Rangers","9.1","4.37","0.96","24","2.24","2.06","2.99","79","2.72","53","12361"
"Fernando Rodriguez","Athletics","9.0","2.92","1.00","27","2.04","2.91","4.97","131","4.82","78","7558"
"Wade Davis","Royals","72.0","24.04","1.00","26","1.54","1.19","1.93","51","1.61","32","7441"
"Ryan Mattheus","Nationals","8.2","1.56","1.04","28","4.97","3.94","4.94","134","4.82","108","7169"
"Aaron Sanchez","Blue Jays","33.0","11.42","1.09","28","2.71","2.80","3.00","79","2.53","73","11490"
"Drew Storen","Nationals","56.1","12.43","1.12","30","2.48","2.71","3.39","92","2.97","74","6983"
"R.J. Alvarez","Padres","8.0","2.03","1.13","32","3.20","3.13","4.68","127","3.93","86","13401"
"Ken Giles","Phillies","45.2","13.52","1.18","32","1.06","1.34","2.03","55","1.51","35","12910"
"Brandon Finnegan","Royals","7.0","1.10","1.29","33","0.94","0.70","1.41","38","1.18","19","16208"
"Josh Edgin","Mets","27.1","2.58","1.32","38","2.37","2.69","2.83","76","2.44","73","10796"
"Dan Jennings","Marlins","40.1","-3.60","1.34","37","3.79","3.48","3.71","100","3.51","97","8073"
"Huston Street","- - -","59.1","13.98","1.37","38","2.87","2.80","3.34","89","2.87","76","8258"
"Dellin Betances","Yankees","90.0","29.18","1.40","36","1.81","1.64","1.86","50","1.45","42","6216"
"Kelvin Herrera","Royals","70.0","24.50","1.41","37","3.78","2.69","3.50","92","3.37","72","6033"
"Neil Ramirez","Cubs","43.2","6.98","1.44","39","3.02","2.61","3.48","94","2.82","70","7677"
"Greg Holland","Royals","62.1","15.22","1.44","37","1.79","1.83","2.10","56","1.77","49","7196"
"Buddy Carlyle","Mets","31.0","5.92","1.45","42","2.94","2.65","3.21","87","2.82","71","2010"
"Derek Holland","Rangers","37.0","8.36","1.46","36","2.35","2.19","3.72","98","3.80","56","4141"
