"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Joaquin Benoit","Padres","54.1","9.96","1.49","43","1.88","2.32","3.01","82","2.30","63","1437"
"Erik Cordier","Giants","6.0","-0.69","1.50","44","3.35","2.63","3.46","94","2.12","76","4086"
"Fernando Abad","Athletics","57.1","20.41","1.57","42","3.05","3.25","3.64","96","3.06","87","4994"
"Michael Kirkman","Rangers","5.2","1.75","1.59","39","4.40","3.66","4.32","114","3.09","94","9877"
"Craig Kimbrel","Braves","61.2","11.13","1.61","44","2.17","1.83","2.24","60","1.94","51","6655"
"Tony Watson","Pirates","77.1","16.22","1.63","46","2.86","2.69","2.84","77","2.39","75","3132"
"Zach Britton","Orioles","76.1","18.72","1.65","42","3.00","3.13","2.82","75","2.14","80","3240"
"Cesar Jimenez","Phillies","16.0","3.96","1.69","46","3.56","4.26","5.22","142","5.02","113","3762"
"Santiago Casilla","Giants","58.1","17.18","1.70","50","2.69","3.18","3.45","93","3.05","92","2873"
"Darren O'Day","Orioles","68.2","17.18","1.70","43","3.35","3.32","3.32","88","2.66","85","3321"
"Matt Thornton","- - -","36.0","-1.36","1.75","45","2.32","2.66","3.83","102","3.14","69","1918"
"Clayton Kershaw","Dodgers","198.1","48.56","1.77","50","1.87","1.81","2.08","56","2.09","49","2036"
"Yimi Garcia","Dodgers","10.0","2.67","1.80","51","3.42","4.23","3.24","88","2.59","116","12095"
"Kyle Crockett","Indians","30.0","6.09","1.80","47","3.34","3.23","3.23","85","2.74","85","15033"
"Joe Smith","Angels","74.2","12.92","1.81","50","2.58","2.85","2.98","79","2.42","78","3281"
"Bryan Morris","- - -","64.1","2.23","1.82","51","4.46","4.10","3.65","99","3.33","114","10234"
"Pat Neshek","Cardinals","67.1","15.38","1.87","52","1.57","2.37","3.29","89","2.55","65","4682"
"Eric Jokisch","Cubs","14.1","-1.17","1.88","51","6.07","5.30","3.70","100","3.66","143","11157"
"Michael Pineda","Yankees","76.1","14.58","1.89","49","2.79","2.71","3.37","89","3.38","69","5372"
"Jake McGee","Rays","71.1","20.03","1.89","51","1.72","1.73","2.58","68","1.98","47","7550"
"Mark Melancon","Pirates","71.0","14.41","1.90","54","2.32","2.09","2.47","67","2.07","58","4264"
"Alex Wilson","Red Sox","28.1","3.95","1.91","48","4.14","3.91","3.88","102","3.48","105","9239"
"Red Patterson","Dodgers","4.2","1.25","1.93","55","3.46","4.63","5.96","162","6.56","127","10710"
"Jared Hughes","Pirates","64.1","14.17","1.96","56","4.23","3.99","3.79","103","3.25","111","9325"
"Zach Putnam","White Sox","54.2","16.80","1.98","51","2.99","3.08","3.64","96","3.37","79","9080"
"Neftali Feliz","Rangers","31.2","6.35","1.99","49","5.57","4.90","4.60","121","4.40","126","18"
"John Holdzkom","Pirates","9.0","1.86","2.00","57","0.78","2.13","1.65","44","1.04","59","9392"
"Aroldis Chapman","Reds","54.0","15.07","2.00","53","1.05","0.89","1.20","32","1.09","23","10233"
"Frank Garces","Padres","9.0","-0.27","2.00","58","4.21","3.02","3.36","91","2.74","83","13144"
"Andrew Miller","- - -","62.1","16.02","2.02","51","1.96","1.51","1.58","42","1.21","41","6785"
"Jonathan Papelbon","Phillies","66.1","12.22","2.04","55","2.26","2.53","3.50","95","2.86","67","5975"
"Cody Allen","Indians","69.2","12.02","2.07","54","2.71","2.99","3.03","80","2.41","79","12183"
"Scott Elbert","Dodgers","4.1","0.69","2.08","59","3.25","2.90","4.33","117","4.26","79","7489"
"A.J. Ramos","Marlins","64.0","10.91","2.11","58","3.35","3.21","4.11","111","3.87","90","8350"
"Luke Gregerson","Athletics","72.1","8.20","2.12","57","2.93","3.24","3.29","87","2.97","87","4090"
"Mike Fiers","Brewers","71.2","12.55","2.13","56","3.17","2.99","3.15","85","2.94","78","7754"
"Felix Hernandez","Mariners","236.0","32.62","2.14","58","2.56","2.56","2.51","67","2.50","70","4772"
"Sam Dyson","Marlins","42.0","1.28","2.14","59","3.51","3.16","3.52","95","3.04","88","11710"
"Dominic Leone","Mariners","66.1","5.84","2.17","59","3.29","3.07","3.07","81","2.81","83","13763"
"Chris Sale","White Sox","174.0","38.02","2.17","56","2.62","2.57","2.83","75","2.56","66","10603"
"Tyler Clippard","Nationals","70.1","8.59","2.18","59","2.23","2.75","3.28","89","2.62","75","5640"
"Roman Mendez","Rangers","33.0","8.18","2.18","54","3.80","4.31","5.14","135","4.70","111","10307"
"Joe Beimel","Mariners","45.0","4.81","2.20","60","4.49","4.18","4.17","110","4.09","113","979"
"Jeurys Familia","Mets","77.1","4.29","2.21","64","2.77","3.07","3.49","94","3.21","83","5114"
"Pedro Strop","Cubs","61.0","10.74","2.21","60","3.34","2.66","2.82","76","2.59","71","4070"
"Eric O'Flaherty","Athletics","20.0","4.54","2.25","61","4.39","4.48","3.52","93","3.05","120","5746"
"Johnny Cueto","Reds","243.2","33.40","2.25","60","3.57","3.30","3.21","87","3.15","87","6893"
"Tom Wilhelmsen","Mariners","79.1","13.60","2.27","62","3.81","3.74","3.69","97","3.54","101","9975"
"Jeremy Affeldt","Giants","55.1","6.91","2.28","67","2.79","2.86","3.23","87","2.56","82","583"
"Dan Otero","Athletics","86.2","13.65","2.28","61","4.17","3.28","3.48","92","3.25","88","7385"
"Burke Badenhop","Red Sox","70.2","12.09","2.29","57","3.68","3.08","3.64","96","3.30","83","9736"
"Jonathan Broxton","- - -","58.2","11.53","2.30","61","2.65","3.37","3.96","107","3.48","88","4759"
"Dale Thayer","Padres","65.1","8.69","2.34","67","3.88","3.85","3.42","93","2.99","105","5032"
"Drew Pomeranz","Athletics","69.0","12.07","2.35","63","3.72","3.77","3.65","96","3.62","101","11426"
"Brad Boxberger","Rays","64.2","13.42","2.37","64","2.66","2.84","1.95","52","1.37","77","10133"
"Adam Wainwright","Cardinals","227.0","36.46","2.38","66","3.61","2.88","3.34","90","3.52","79","2233"
"J.P. Howell","Dodgers","49.0","13.31","2.39","68","3.24","3.30","3.52","95","3.43","90","8245"
"Justin De Fratus","Phillies","52.2","0.03","2.39","65","3.53","3.11","3.53","96","3.04","83","4955"
"Doug Fister","Nationals","164.0","18.98","2.41","66","3.95","3.93","3.85","104","3.93","108","9425"
"Hector Rondon","Cubs","63.1","5.03","2.42","66","2.89","2.26","2.81","76","2.60","61","2391"
"Jose Fernandez","Marlins","51.2","3.23","2.44","67","2.13","2.18","2.18","59","2.20","61","11530"
"Corey Kluber","Indians","235.2","33.08","2.44","64","2.73","2.35","2.57","68","2.61","62","2429"
"Bryan Mitchell","Yankees","11.0","1.94","2.45","63","4.50","3.22","3.90","103","3.55","82","11479"
"Zach Duke","Brewers","58.2","9.81","2.45","65","2.75","2.14","2.09","56","1.95","55","3840"
"Bobby LaFromboise","Pirates","3.2","-0.38","2.45","70","5.67","4.50","2.30","62","1.95","125","7758"
"Aaron Thompson","Twins","7.1","0.52","2.45","64","3.35","2.31","4.17","110","3.80","61","999"
"Jon Lester","- - -","219.2","27.36","2.46","63","3.13","2.80","3.10","82","3.09","76","4930"
"Cole Hamels","Phillies","204.2","25.20","2.46","67","3.64","3.07","3.21","87","3.29","81","4972"
"Kyle Hendricks","Cubs","80.1","10.17","2.46","67","3.55","3.32","3.92","106","4.06","89","12049"
"Kevin Quackenbush","Padres","54.1","10.35","2.48","71","3.36","2.65","3.36","91","3.01","72","12360"
"Blake Treinen","Nationals","50.2","3.32","2.49","68","3.83","3.09","3.62","98","3.52","85","12572"
"Al Alburquerque","Tigers","57.1","9.03","2.51","65","4.02","3.78","3.33","88","2.89","99","6324"
"Koji Uehara","Red Sox","64.1","9.82","2.52","63","3.56","3.09","2.41","64","1.85","83","9227"
"Jake Arrieta","Cubs","156.2","24.31","2.53","69","2.72","2.26","2.73","74","2.83","60","4153"
"Danny Duffy","Royals","149.1","15.43","2.53","66","3.79","3.83","4.42","117","4.31","102","3542"
"Blaine Hardy","Tigers","39.0","8.66","2.54","66","3.75","3.49","4.17","110","4.04","92","6499"
"Carlos Carrasco","Indians","134.0","21.52","2.55","67","2.72","2.44","2.66","70","2.58","65","6632"
"Andrew Cashner","Padres","123.1","6.07","2.55","73","3.34","3.09","3.53","95","3.70","84","8782"
"Chad Jenkins","Blue Jays","31.2","4.18","2.56","66","3.30","3.48","3.87","102","3.47","91","10326"
"Steven Wright","Red Sox","21.0","1.78","2.57","64","3.55","2.85","2.31","61","2.16","77","8185"
"Brandon League","Dodgers","63.0","-0.51","2.57","73","3.16","3.40","4.09","111","3.58","93","3731"
"Cory Rasmus","Angels","56.0","7.13","2.57","71","2.99","3.17","3.44","91","3.08","87","2413"
"Jean Machi","Giants","66.1","9.05","2.58","76","3.53","3.43","3.37","91","3.18","99","3220"
"Bryan Shaw","Indians","76.1","6.32","2.59","68","3.57","3.42","3.65","96","3.36","90","8110"
"Vic Black","Mets","34.2","8.64","2.60","75","3.72","3.77","4.16","113","3.98","102","9195"
"Taijuan Walker","Mariners","38.0","4.72","2.61","71","4.59","3.68","3.88","102","3.97","100","11836"
"Sam Freeman","Cardinals","38.0","2.54","2.61","73","4.13","3.79","3.92","106","3.59","104","6832"
"Kyle Ryan","Tigers","10.1","2.92","2.61","68","1.83","2.94","3.66","97","2.71","77","11753"
"Garrett Richards","Angels","168.2","24.70","2.61","72","2.86","2.60","3.15","83","3.20","71","9784"
"Pedro Baez","Dodgers","24.0","6.94","2.63","75","3.17","3.88","3.96","107","3.50","106","5420"
"Jeff Beliveau","Rays","24.0","2.42","2.63","71","2.98","2.47","3.06","81","2.56","67","8504"
"Kevin Jepsen","Angels","65.0","8.88","2.63","73","2.82","2.78","2.97","78","2.62","76","6475"
"Dana Eveland","Mets","27.1","4.21","2.63","76","3.21","3.21","3.20","87","2.57","87","5508"
"Anthony Varvaro","Braves","54.2","6.02","2.63","73","3.28","3.21","3.15","85","2.86","89","2385"
"Henderson Alvarez","Marlins","187.0","17.93","2.65","72","4.28","3.58","3.57","97","3.70","100","5669"
"Gavin Floyd","Braves","54.1","-0.10","2.65","73","4.06","3.79","3.47","94","3.54","106","3886"
"Aaron Barrett","Nationals","40.2","-0.09","2.66","72","3.40","2.59","3.15","85","3.02","71","11243"
"Jordan Zimmermann","Nationals","199.2","20.13","2.66","72","3.32","2.68","3.10","84","3.15","73","4505"
"Alex Colome","Rays","23.2","1.94","2.66","72","4.23","3.85","4.87","128","5.05","104","6661"
"Danny Farquhar","Mariners","71.0","8.22","2.66","72","3.60","2.86","2.94","78","2.60","78","8501"
"Jason Frasor","- - -","47.1","2.04","2.66","66","4.18","3.28","3.45","91","3.19","85","1906"
"Yoervis Medina","Mariners","57.0","-1.71","2.68","73","3.78","3.45","3.59","95","3.28","94","10498"
"Jacob deGrom","Mets","140.1","11.91","2.69","78","3.09","2.67","3.03","82","3.19","72","10954"
"Erik Goeddel","Mets","6.2","0.72","2.70","78","4.14","3.13","4.24","115","4.27","85","11712"
"Matt Moore","Rays","10.0","0.98","2.70","73","5.87","4.73","4.54","120","4.99","127","1890"
"Yoslan Herrera","Angels","16.2","1.44","2.70","75","3.78","3.19","4.38","115","4.28","87","7759"
"Brett Cecil","Blue Jays","53.1","11.78","2.70","70","3.13","2.34","2.51","66","2.49","61","2660"
"Nick Hagadone","Indians","23.1","5.02","2.70","71","3.42","3.26","2.91","77","2.41","86","1351"
"Zack Greinke","Dodgers","202.1","22.09","2.71","77","3.38","2.97","2.72","74","2.87","81","1943"
"Sean Doolittle","Athletics","62.2","11.44","2.73","73","1.48","1.71","2.25","60","1.53","46","1581"
"Collin McHugh","Astros","154.2","18.65","2.73","71","3.77","3.11","3.11","82","3.14","81","7531"
"Evan Marshall","Diamondbacks","49.1","8.77","2.74","72","3.16","2.89","2.85","77","2.50","78","12297"
"Marc Rzepczynski","Indians","46.0","4.60","2.74","72","3.09","2.85","3.29","87","2.97","75","6612"
"Lance Lynn","Cardinals","203.2","20.05","2.74","76","3.49","3.35","3.81","103","3.84","92","2520"
"Scott Atchison","Indians","72.0","15.02","2.75","72","3.34","3.08","3.20","84","2.88","81","2642"
"Kenley Jansen","Dodgers","65.1","5.20","2.76","79","2.56","1.91","1.93","52","1.64","52","3096"
"T.J. McFarland","Orioles","58.2","1.84","2.76","70","3.81","3.29","3.62","96","3.19","84","3237"
"Shawn Tolleson","Rangers","71.2","3.66","2.76","68","4.45","4.23","3.83","101","3.40","109","10481"
"Brooks Brown","Rockies","26.0","8.03","2.77","64","4.03","3.71","3.21","87","2.73","93","5679"
"Masahiro Tanaka","Yankees","136.1","13.70","2.77","72","3.83","3.04","2.58","68","2.67","78","15764"
"Alex Wood","Braves","171.2","15.28","2.78","77","3.45","3.25","3.19","86","3.16","90","13781"
"George Kontos","Giants","32.1","3.59","2.78","82","2.64","2.88","3.90","106","3.53","83","9486"
"Tyson Ross","Padres","195.2","0.88","2.81","81","3.52","3.24","3.11","84","3.21","89","7872"
"Jeremy Jeffress","- - -","32.0","1.83","2.81","73","4.04","2.85","2.99","80","2.70","74","9490"
"Phil Klein","Rangers","19.0","3.84","2.84","70","4.21","4.66","3.97","105","3.18","119","12675"
"Vance Worley","Pirates","110.2","5.22","2.85","81","3.69","3.44","3.54","96","3.68","96","6435"
"Fernando Rodney","Mariners","66.1","3.86","2.85","78","3.37","2.83","3.14","83","2.92","77","494"
"Tanner Roark","Nationals","198.2","19.78","2.85","78","3.81","3.47","3.84","104","3.93","95","8753"
"Junichi Tazawa","Red Sox","63.0","1.37","2.86","71","4.16","2.94","3.17","84","2.91","79","4079"
"Ryan Pressly","Twins","28.1","5.06","2.86","74","6.00","4.47","4.19","110","4.18","118","7005"
"Josh Outman","- - -","28.1","2.64","2.86","75","4.33","4.83","4.13","109","3.97","127","4004"
"Alex Cobb","Rays","166.1","15.48","2.87","78","3.11","3.23","3.33","88","3.26","87","6562"
"Josh Beckett","Dodgers","115.2","8.56","2.88","82","4.31","4.33","3.73","101","3.67","118","510"
"Jordan Walden","Braves","50.0","3.33","2.88","80","2.87","2.79","3.29","89","3.10","77","3271"
"Julio Teheran","Braves","221.0","10.18","2.89","80","3.78","3.49","3.72","101","3.68","97","6797"
"Mike Adams","Phillies","18.2","3.83","2.89","79","2.42","2.86","3.16","85","2.92","76","1937"
"Vinnie Pestano","- - -","18.2","2.19","2.89","77","2.47","3.24","2.81","74","2.07","87","4782"
"Mike Morin","Angels","59.0","7.13","2.90","80","2.88","3.08","3.76","99","3.31","84","13442"
"Shae Simmons","Braves","21.2","3.18","2.91","81","3.92","3.13","3.22","87","3.25","87","14200"
"Brett Anderson","Rockies","43.1","5.28","2.91","68","3.66","2.99","3.55","96","3.61","75","8223"
"Seth Maness","Cardinals","80.1","4.59","2.91","81","3.63","3.38","3.19","86","2.88","93","12235"
"Javy Guerra","White Sox","46.1","-0.70","2.91","75","4.46","3.95","4.44","117","3.96","101","7407"
"Oliver Perez","Diamondbacks","58.2","2.77","2.91","76","3.72","3.23","3.16","85","2.64","87","1514"
"Alex Claudio","Rangers","12.1","0.95","2.92","72","3.04","1.83","2.44","65","2.30","47","12890"
"Dallas Keuchel","Astros","200.0","23.85","2.92","76","3.37","3.21","3.20","85","3.11","84","9434"
"Dylan Axelrod","Reds","18.1","3.17","2.95","79","6.79","5.15","2.82","76","2.83","135","9303"
"Eury De la Rosa","Diamondbacks","36.2","3.28","2.95","77","3.67","3.49","4.16","113","3.65","94","4055"
"Chris Withrow","Dodgers","21.1","3.12","2.95","84","3.56","3.79","4.11","111","4.10","103","7161"
"Jake Petricka","White Sox","73.0","5.04","2.96","76","3.82","3.60","3.76","99","3.48","92","10534"
"James Russell","- - -","57.2","3.15","2.97","81","4.21","3.44","4.10","111","3.96","94","4089"
"Tommy Hunter","Orioles","60.2","8.90","2.97","76","4.07","3.15","3.23","85","3.04","80","1157"
"Adam Warren","Yankees","78.2","6.07","2.97","77","3.61","2.89","3.28","87","3.01","74","9029"
"Madison Bumgarner","Giants","217.1","16.75","2.98","88","3.02","3.05","2.99","81","2.98","88","5524"
"Jeff Samardzija","- - -","219.2","10.32","2.99","81","3.38","3.20","3.07","82","3.06","86","3254"
"Preston Claiborne","Yankees","21.0","-3.79","3.00","77","3.61","3.66","4.80","127","4.35","93","10500"
"Edinson Volquez","Pirates","192.2","10.81","3.04","86","3.99","4.15","4.20","114","4.20","115","3990"
"James Paxton","Mariners","74.0","7.37","3.04","83","3.83","3.28","3.54","93","3.80","89","11828"
"Michael Kohn","Angels","23.2","6.33","3.04","84","4.94","4.27","5.03","132","4.74","117","8505"
"Matt Shoemaker","Angels","136.0","12.94","3.04","84","3.35","3.26","3.28","87","3.19","89","4776"
"Francisco Rodriguez","Brewers","68.0","8.83","3.04","80","5.13","4.50","2.91","79","2.58","117","1642"
"Lisalverto Bonilla","Rangers","20.2","2.84","3.05","75","5.28","4.63","4.57","120","4.71","119","11266"
"Yu Darvish","Rangers","144.1","14.61","3.06","75","3.43","2.84","2.96","78","2.87","73","13074"
"Carlos Torres","Mets","97.0","4.46","3.06","89","3.63","3.86","3.59","97","3.28","105","7624"
"Jesse Hahn","Padres","73.1","0.29","3.07","88","3.76","3.40","3.59","97","3.73","93","13287"
"David Robertson","Yankees","64.1","8.31","3.08","79","3.16","2.68","2.13","57","1.88","69","8241"
"Sonny Gray","Athletics","219.0","14.78","3.08","83","3.59","3.46","3.47","92","3.56","93","12768"
"Javier Lopez","Giants","37.2","-0.45","3.11","92","3.64","4.33","4.49","122","4.08","125","1663"
"Stephen Strasburg","Nationals","215.0","8.57","3.14","85","3.52","2.94","2.56","69","2.64","80","10131"
"Max Scherzer","Tigers","220.1","26.88","3.15","81","3.27","2.85","3.12","83","2.98","75","3137"
"Aaron Loup","Blue Jays","68.2","9.57","3.15","81","4.23","3.83","3.92","103","3.65","100","10343"
"Mike Dunn","Marlins","57.0","6.23","3.16","86","3.13","3.06","3.60","98","2.95","85","9948"
"Wesley Wright","Cubs","48.1","5.10","3.17","86","4.36","3.44","3.80","103","3.65","93","5960"
"Steve Cishek","Marlins","65.1","2.16","3.17","87","3.00","2.17","2.54","68","2.34","60","6483"
"Jairo Diaz","Angels","5.2","1.38","3.18","88","1.63","1.90","2.99","79","2.70","52","12774"
"Brad Brach","Orioles","62.1","6.86","3.18","81","4.09","3.90","4.12","109","3.74","99","6627"
"Rob Rasmussen","Blue Jays","11.1","-0.81","3.18","82","4.43","4.37","4.42","117","3.69","113","11250"
"Rafael Soriano","Nationals","62.0","3.64","3.19","87","3.19","3.08","3.92","106","3.31","84","1100"
"Jeanmar Gomez","Pirates","62.0","-6.39","3.19","91","5.24","4.37","4.25","115","4.16","122","9033"
"Michael Wacha","Cardinals","107.0","5.27","3.20","89","3.61","3.17","3.71","101","3.74","87","14078"
"Yordano Ventura","Royals","183.0","9.06","3.20","83","4.10","3.60","3.74","99","3.87","96","11855"
"Trevor Rosenthal","Cardinals","70.1","5.17","3.20","89","3.54","2.99","3.73","101","3.40","82","10745"
"James Shields","Royals","227.0","11.91","3.21","83","3.99","3.59","3.56","94","3.59","96","7059"
"Miguel Gonzalez","Orioles","159.0","7.56","3.23","82","5.34","4.89","4.46","118","4.40","124","7024"
"Drew Smyly","- - -","153.0","13.04","3.24","84","3.88","3.77","3.76","99","3.69","100","11760"
"Steve Geltz","Rays","8.1","-4.75","3.24","88","6.58","6.97","3.92","104","2.65","187","8402"
"Todd Redmond","Blue Jays","75.0","-3.30","3.24","83","3.68","3.56","4.47","118","3.95","93","9943"
"Brandon Kintzler","Brewers","58.1","3.78","3.24","85","5.27","4.68","3.87","105","3.71","122","9939"
"Tsuyoshi Wada","Cubs","69.1","2.05","3.25","89","4.29","3.75","3.96","107","3.89","101","13046"
"Joakim Soria","- - -","44.1","1.21","3.25","82","2.58","2.09","2.73","72","2.32","55","6941"
"Mat Latos","Reds","102.1","3.28","3.25","87","4.19","3.65","3.99","108","4.08","96","3815"
"David Price","- - -","248.1","12.30","3.26","87","3.02","2.78","2.76","73","2.72","75","3184"
"Dallas Beeler","Cubs","11.0","-0.36","3.27","89","3.45","3.95","4.96","135","5.51","106","11471"
"A.J. Achter","Twins","11.0","-0.11","3.27","85","4.83","5.40","5.51","145","5.11","142","11387"
"David Hale","Braves","87.1","-5.05","3.30","91","4.48","4.31","4.61","125","4.58","120","9756"
"LaTroy Hawkins","Rockies","54.1","9.32","3.31","77","4.72","3.39","3.95","107","3.85","85","729"
"Brian Duensing","Twins","54.1","5.23","3.31","86","4.73","4.51","4.46","118","4.29","119","4064"
"Jose Quintana","White Sox","200.1","15.08","3.32","86","3.39","2.81","3.37","89","3.50","72","11423"
"Chris Archer","Rays","194.2","0.77","3.33","90","3.77","3.39","3.70","98","3.80","91","6345"
"Chad Qualls","Astros","51.1","1.86","3.33","87","3.32","3.13","2.83","75","2.44","82","2170"
"Alex Torres","Padres","54.0","1.72","3.33","96","4.15","3.72","4.27","116","4.11","102","7038"
"Chris Tillman","Orioles","207.1","9.49","3.34","85","4.41","4.01","4.20","111","4.26","102","5279"
"T.J. House","Indians","102.0","3.70","3.35","88","4.32","3.69","3.10","82","2.96","97","9121"
"David Huff","- - -","59.0","4.84","3.36","95","4.71","4.13","4.25","113","4.12","110","4257"
"Odrisamer Despaigne","Padres","96.1","-5.32","3.36","97","3.81","3.74","4.01","109","4.14","102","16017"
"Bradin Hagens","Diamondbacks","2.2","-2.21","3.37","88","6.31","5.01","5.47","149","5.85","136","7422"
"Fernando Salas","Angels","58.2","-0.02","3.37","93","3.94","2.93","3.21","85","2.82","80","4971"
"Hyun-Jin Ryu","Dodgers","152.0","7.35","3.38","96","3.11","2.62","3.03","82","3.17","71","14444"
"Chris Hatcher","Marlins","56.0","4.15","3.38","92","2.91","2.56","2.78","75","2.50","71","3299"
"Tony Sipp","Astros","50.2","7.76","3.38","88","3.15","2.93","2.94","78","2.43","77","8280"
"Jumbo Diaz","Reds","34.2","2.46","3.38","90","4.77","3.33","3.17","86","3.08","87","3397"
"Rich Hill","- - -","5.1","-0.08","3.38","99","4.74","3.69","4.62","143","4.24","127","4806"
"Francisco Liriano","Pirates","162.1","2.90","3.38","96","3.65","3.59","3.40","92","3.61","100","3201"
"Mark Buehrle","Blue Jays","202.0","12.65","3.39","87","4.33","3.66","4.09","108","4.32","95","225"
"Caleb Thielbar","Twins","47.2","5.71","3.40","88","4.62","3.55","4.34","114","4.06","94","10078"
"Jon Niese","Mets","187.2","-3.52","3.40","99","4.10","3.67","3.63","98","3.78","99","4424"
