mlb_id,mlb_name,bp_id,fangraphs,fg_RE24,bp_ERA,bp_FIP,fg_xFIP,bp_cFIP,bp_DRA,fg_SIERA
449104,Jim Henderson,47758,6653,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
462382,Jim Johnson,37595,3656,-4.69,4.46,3.76,3.73,104,4.61,3.34
461848,Jim Miller,45560,7458,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
519076,Jimmy Nelson,65895,10547,-3.12,4.11,4.13,4.06,107,3.91,4.09
517370,Jimmy Paredes,57065,5481,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
276519,Jimmy Rollins,688,971,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
465657,Joakim Soria,46711,6941,10.08,2.53,3.7,3.57,94,3.17,3.26
593340,Joan Gregorio,67187,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
435078,Joaquin Arias,45382,3817,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
276542,Joaquin Benoit,1250,1437,12.72,2.34,3.77,3.69,96,2.51,3.35
501955,Joba Chamberlain,55707,2692,-9.78,4.88,5.35,4.1,107,6.65,3.87
592626,Joc Pederson,67072,11899,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
346847,Joe Beimel,703,979,-6.64,3.99,5.45,5.25,124,4.9,5
430599,Joe Blanton,32842,4849,7.68,2.84,2.92,3.01,80,3.56,2.82
523260,Joe Kelly,59351,9761,-6.19,4.82,4.15,4.08,103,4.3,4.23
458155,Joe Martinez,48240,3935,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
408045,Joe Mauer,31759,1857,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
150274,Joe Nathan,461,1122,0.43,0,-2.9,-2.87,99,3.86,-0.58
517451,Joe Ortiz,57046,7955,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
605412,Joe Panik,69564,11936,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
519110,Joe Paterson,57598,2565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
434578,Joe Saunders,42438,4366,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
456045,Joe Savery,54995,2835,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
501925,Joe Smith,51129,3281,1.36,3.58,3.12,3.42,92,4.39,3.25
491159,Joe Thatcher,49580,4620,-3.06,3.18,2.97,3.73,97,4.66,3.6
543921,Joe Wieland,58178,6109,-3.21,8.31,6.97,5.64,117,6.78,6.03
468528,Joel Carreno,49938,2746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430629,Joel Hanrahan,31445,2186,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407908,Joel Peralta,40962,2332,-3.04,4.34,5.02,4.39,107,4.41,3.84
570257,Joely Rodriguez,66246,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
542994,Joey Butler,58118,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
519345,Joey Terdoslavich,65919,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
458015,Joey Votto,45487,4314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
276371,Johan Santana,1513,755,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
446099,John Axford,55512,9059,3.25,4.2,3.59,3.74,92,3.54,3.66
434633,John Baker,32395,4756,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
407833,John Buck,31321,2041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
607405,John Cornely,69980,12364,-3.55,36,17.16,8.56,108,22.35,6.1
433579,John Danks,45515,6329,-23.97,4.71,4.46,4.65,108,4.79,4.63
