NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Aroldis Chapman,Reds,63.2,0.99, , , , , ,3.54, , , ,-2.21, , ,10233
Casey Janssen,Blue Jays,52.2,0.92,-6.98,0.91, , , ,5.47,1.31, , , , , ,7355
Anibal Sanchez,Tigers,182,0.61, ,0.24, , ,-0.01,1.32,-0.08, , ,1.55, , ,3284
Jason Frasor,Rangers,49,1.2, , , , , ,0.05, , , ,0.33, , ,1906
Jake Diekman,Phillies,38.1,-1.8,1.18, , , , ,2.02, , , ,-1.31, , ,5003
Grant Balfour,Athletics,62.2,0.36,5.44,2.53, , , ,-0.31,4.34, , ,16.83, , ,718
Chris Withrow,Dodgers,34.2,0.29, ,5.07, , , ,3.1,2.59, , ,2.44, , ,7161
Chad Qualls,Marlins,62, , , , , ,1.3,0.91, , , , , , ,2170
Trevor Rosenthal,Cardinals,75.1,0.98, , , , , ,-4.99,-1.82, , ,1.88, , ,10745
Zack Greinke,Dodgers,177.2,1.18,0.31,-0.44, , , ,0.65,1.07, , ,1.12, , ,1943
Andrew Miller,Red Sox,30.2,-0.36,0.24, , , , ,1.49, , , ,2.46, , ,6785
Adam Ottavino,Rockies,78.1,-1.16,-1.09, , , , ,2.4, , , ,-4.01, , ,1247
Bartolo Colon,Athletics,190.1,1.01,0.46, , , , ,0.84, , , ,1.05, , ,375
Sam LeCure,Reds,61,0.85,0.49,-1.53, , , ,-2.39,3.74,2.53, ,0.57, , ,4664
Mike Dunn,Marlins,67.2,0.24,0.62, , , , ,1.5,1.96, , , , , ,9948
Hisashi Iwakuma,Mariners,219.2,0.62, , ,1.06, ,2.89,-0.46,0.56, , , , , ,13048
Sonny Gray,Athletics,64,0.63,-0.67,0.99, , , ,-1.29,3.3, , ,-1.75, , ,12768
Joe Kelly,Cardinals,124,-0.05,0.47, , , , ,-0.21,-0.84, , ,0.35, , ,9761
Brandon Kintzler,Brewers,77,1.05, , , , ,1.59,0.34, , , ,3.97, , ,9939
Simon Castro,White Sox,6.2,1.43,-0.34,-1.11, , , ,3.84,-4.44, , ,0.46, , ,9243
Chad Jenkins,Blue Jays,33.1,-2.06,1.15, , , , ,1.93, , , ,0.89, , ,10326
Jason Grilli,Pirates,50,0.86, , , , , ,1.55, , , ,13.04, , ,521
Huston Street,Padres,56.2,2.53, , , , ,0.57,1.48, , , ,-1.84, , ,8258
Jim Henderson,Brewers,60,1.12,-2.85, , , , ,-0.95, , , , , , ,6653
Francisco Rodriguez,- - -,46.2,-1.01,0.4, , , , , ,0.63, , ,2.31, , ,1642
Luke Gregerson,Padres,66.1,1.27,-1.56,3.76, , , ,0.74,1.1, , ,2.64, , ,4090
Blake Parker,Cubs,46.1,0.86,-2.35, ,-5.82, , , ,0.57, , ,2.16, , ,5224
Craig Stammen,Nationals,81.2,-0.57,0.21, , , , ,0.77,-0.38,1.73, ,-4.58, , ,7274
Alex Cobb,Rays,143.1,0.07,0.97, , , , , ,-0.08, , ,1.3, , ,6562
Brett Oberholtzer,Astros,71.2,-0.19,0.62, , , , ,-3.11,0.1,-1.86, ,1.78, , ,3855
Arquimedes Caminero,Marlins,13,2.91,-10.1, , , , ,-46.34,-4.99, , ,-5.76, , ,8992
Madison Bumgarner,Giants,201.1,1.88,-0.11, , , , ,1.11,0.6, , ,1.77, , ,5524
Michael Wacha,Cardinals,64.2,1.39, ,-8.16, , , , ,-0.59, , ,1.12, , ,14078
Edward Mujica,Cardinals,64.2,-3.03,0.64, ,1.7, , ,-3.54, , , , , , ,3970
Vin Mazzaro,Pirates,73.2,1.37,1.43, , , , ,-0.12, ,5.58, ,-0.97, , ,5231
Tommy Hunter,Orioles,86.1,1.77,-0.47,1.95, , , ,2.31,-0.37, , ,-10.9, , ,1157
Johnny Cueto,Reds,60.2,1.81,-0.87,1.03, , , ,-1.75,-5.64, , ,3.99, , ,6893
Brett Cecil,Blue Jays,60.2,2.12, ,-3.11, , ,0.88,5.07,-0.02, , ,-1.62, , ,2660
Anthony Varvaro,Braves,73.1,1.19, , , , , , ,-0.18, , ,1.58, , ,2385
Yu Darvish,Rangers,209.2,-0.44,-0.72,0.72,-0.26, , ,2.72,-2.01, , ,-3.56, , ,13074
Jake Dunning,Giants,25.1,-0.57,-4.24, , , ,-0.16,0.68, , , ,5.13, , ,10803
Dane de la Rosa,Angels,72.1,1.53, ,1.4,-0.58, , ,0.26, , , ,3.01, , ,10095
J.J. Hoover,Reds,66,1.12, , , , , ,1.27,0.11, , ,-1.13, , ,9037
Brad Boxberger,Padres,22,-0.87, ,2.36, , , ,-3.47, , , ,0.23, , ,10133
Cliff Lee,Phillies,222.2,2.27,1.17,0.79, , , ,-7.2,-0.87, , ,0.3, , ,1636
Alfredo Simon,Reds,87.2,0.4,1.73,0.59,-0.28, , ,-0.05, , , , , , ,2155
Max Scherzer,Tigers,214.1,1.39,-2.33, , , , ,2.81,-1.32, , ,0.21, , ,3137
Will Harris,Diamondbacks,52.2,-1.68, ,1.25, , , , ,-0.38, , ,-4.58, , ,3192
Anthony Swarzak,Twins,96,0.88,1.5, , , , , ,-0.59, , ,-3.35, , ,7466
Yoervis Medina,Mariners,68,-0.54,0.76, , , , , ,2.55, , ,0.24, , ,10498
Ryan Webb,Marlins,80.1,3.79, , , , ,0.15,1.4, , , ,-4.85, , ,7474
Jonathan Papelbon,Phillies,61.2,0.64,1.95, ,-0.96, , ,-0.03, , , , , , ,5975
Tony Cingrani,Reds,104.2,0.75, , , , , ,1.79,0.03, , ,-2.04, , ,12555
LaTroy Hawkins,Mets,70.2,0.76,5.57, , , , ,-0.09,-0.34, , ,-0.62, , ,729
Adam Wainwright,Cardinals,241.2,2.05, ,1.22, , ,-0.11, ,1.76, , ,-2.74, , ,2233
Jim Johnson,Orioles,70.1,2.98,0.01, , , , , ,1.05, , ,-2.09, , ,3656
Chad Billingsley,Dodgers,12,1.61,0.73,-1.44, , , ,-1.77,-2.26, , ,6.1, , ,5842
Charles Brewer,Diamondbacks,6,1.22,0.47,-2.85, , , , ,-7.24, , ,1.27, , ,9155
Stephen Strasburg,Nationals,183,0.62,-0.27, , , , , ,2.15, , ,1.86, , ,10131
Hyun-Jin Ryu,Dodgers,192,0.68,-0.15, , , , ,0.07,-1.91, , ,3.03, , ,14444
Jose Veras,- - -,62.2, , , ,-1.39, ,2.1, ,-0.5, , , , , ,2063
Francisco Liriano,Pirates,161,-0.7,-0.54, , , , ,2.3, , , ,0.96, , ,3201
Sandy Rosario,Giants,41.2,1.34, , , , , ,0.63, , , ,-3.5, , ,1525
Robbie Ross,Rangers,62.1,0.64,-1.68,0.56, , , ,-0.12,-1.11, , ,3.69, , ,6819
Luke Putkonen,Tigers,29.2,-0.16, , , , ,-2.65, ,5.18,1.95, ,1.55, , ,6736
Felix Hernandez,Mariners,204.1,0.84, ,2.61, , ,0.67,0.8,-0.28, , ,0.75, , ,4772
Brad Hand,Marlins,20.2,4.45,2.43, , , , , ,-1.4, , ,-11.8, , ,9111
Chad Gaudin,Giants,97,1, , , , ,2.25,-0.36, , , ,-0.82, , ,1783
Shelby Miller,Cardinals,173.1,0.44, ,0.5, , , , ,0.44, , ,-1.23, , ,10197
Chris Sale,White Sox,214.1,0.04,0.4, , , , ,1.36, , , ,0.84, , ,10603
Andrew Cashner,Padres,175,0.68,2.22, , , , ,0.37,0.22, , ,-0.08, , ,8782
Jamey Wright,Rays,70,-6.81, ,1.68, , ,-1.56,6.91,1.23, , ,-2.53, , ,715
Ivan Nova,Yankees,139.1,-0.16,1.71,-5.19, , , ,0.42,0.47, , ,2.56, , ,1994
Travis Wood,Cubs,200,0.51,0.5,1.73, , , ,-0.24,-3.88, , ,0.17, , ,9884
Rafael Soriano,Nationals,66.2,0.82,0.55,3.7, , , ,-3.41, , , , , , ,1100
Alexi Ogando,Rangers,104.1,-0.26, ,0.02, , , ,0.85, , , ,1.82, , ,10261
Kris Medlen,Braves,197,-3.05,0.14,-25.5, , , , ,0.62, , ,1.9, , ,9417
Erik Davis,Nationals,8.2,-2.92,3.7, , , , , ,4.63,-15.2, ,2.22, , ,8422
Danny Salazar,Indians,52,0.39,0.24,11.43, , , ,0.66, , , ,1.44, , ,5867
Matt Lindstrom,White Sox,60.2,-0.61, , , , ,1.17,0.13, , , ,-4.07, , ,4604
Alex Wood,Braves,77.2,0.4,-2.88, , , , ,7.37,5.03,-0.57, ,0.55, , ,13781
Josh Collmenter,Diamondbacks,92,-0.09, ,1.22, , ,-4.56, ,-6.98, , ,0.88, , ,7312
Sean Doolittle,Athletics,69,1.52,-1.29, , , , , ,-1.52, , ,6.72, , ,1581
Matt Albers,Indians,63,-0.1, , , , ,1.53,1.43,-1.64, , ,-0.94, , ,4300
James Shields,Royals,228.2,0.51,-2.21,0.4, , , ,4.78,1.28,-6.35, ,1.31, , ,7059
Joe Savery,Phillies,20,0.1, ,2.48, , , ,0.73, , , ,-5.55, , ,2835
A.J. Ramos,Marlins,80,0.1,5.95,-2.2, , , ,1.71,1.54, , ,1.58, , ,8350
Jerry Blevins,Athletics,60, , , , , ,0.35,-0.64,3.57, , ,1.92, , ,7841
Tyler Chatwood,Rockies,111.1,0.44,-1.17, , , , ,0.91,0.1, , ,-2.77, , ,4338
Junichi Tazawa,Red Sox,68.1,-0.66, , , ,0.65,-6.15,0.72,0.2, , ,1.42, , ,4079
Mat Latos,Reds,210.2,-0.65,0.81,0.32, , , ,1.76,1.86, , ,-0.66, , ,3815
Tyson Ross,Padres,125,-0.14,-0.3,-0.48, , , ,3.16, , , ,-1.98, , ,7872
Josh Stinson,Orioles,17,-0.38,-7.09, , , , ,3.25,1.39, , ,5.22, , ,3219
Daniel Webb,White Sox,11.1,0.58, ,-11.33, , , ,1.87,3.91, , ,10.38, , ,10558
Cory Burns,Rangers,11.1, ,1.37, , , , ,-16.02, , , ,-1.92, , ,6620
Brad Brach,Padres,31,-0.72,5.8, ,0.94, , ,-2.9, , , , , , ,6627
Julio Teheran,Braves,185.2,0.53,-1.16, , , , ,0.53,-0.04, , ,0.01, , ,6797
Joe Thatcher,- - -,39.1,1.21, ,-4.05, , , ,-0.47, , , , , , ,4620
Mike Minor,Braves,204.2,0.57, , , , , ,0.33,-1.17,1.59, ,1.2, , ,10021
Chris Archer,Rays,128.2,0.87,-0.19, , , , ,1.13, , , ,-1.96, , ,6345
Steve Delabar,Blue Jays,58.2,0.2,0.11, , , , ,2.58, , , ,-1.03, , ,11827
Gerrit Cole,Pirates,117.1,0.43,0.99,1.43, , , ,2.03, , , ,0.79, , ,13125
Marc Rzepczynski,- - -,30.2,-1.83, , , , ,-0.03,1.98, , , ,5.16, , ,6612
Boone Logan,Yankees,39,-0.48,0.88, , , , ,1.47, , , ,-4.56, , ,5525
Will Smith,Royals,33.1,-0.26,2.09, , , , ,2.54,-2.04, , ,-16.05, , ,8048
Bryan Shaw,Indians,75,-0.39, ,0.77, , , ,3.14,5.41, , ,-12.16, , ,8110
Ervin Santana,Royals,211,-0.01,-0.29, , , , ,1.1, , , ,-1.11, , ,3200
Jordan Zimmermann,Nationals,213.1,0.31,3.24, , , , ,1,0.23, , ,1.22, , ,4505
Erik Johnson,White Sox,27.2,-1.69,-1.16,8.25, , , ,-0.11,-0.59, , ,-2.22, , ,12520
Charlie Morton,Pirates,116,-0.22,0.9,5.3, , , , ,0.58, , ,-5.83, , ,4676
Jake Petricka,White Sox,19.1,1.03,-0.75, , , , ,1.32, , , ,1.98, , ,10534
Jered Weaver,Angels,154.1,0.33,0.19,1.18, , , ,-1.29,1.98, , ,0.5, , ,4235
Bruce Chen,Royals,121,-0.48, , , , ,-0.66,1.2,0.13, ,1.2,2.27, , ,769
Luis Ayala,- - -,33,0.65,0.91, , , , ,0.73,-6.3, , ,-1.41, , ,1650
Ross Ohlendorf,Nationals,60.1,1.44,0.21, , , , ,0.23, , , ,-1.86, , ,8268
Matt Moore,Rays,150.1,-0.14,1.1, , , , ,0.04, , , ,1.95, , ,1890
A.J. Burnett,Pirates,191,-0.02, , , , ,-0.06, , ,1.89, ,-2.18, , ,512
Ubaldo Jimenez,Indians,182.2,-0.13,-1.04,1.62,-0.84, , ,0.97,0.29, , ,0.51, , ,3374
Hiroki Kuroda,Yankees,201.1,0.34, , ,0.77, ,-0.29,0.44,0.35, , , , , ,3283
Dale Thayer,Padres,65,1.33,0.62, , , , ,-1.51, , , ,-7.98, , ,5032
Manny Parra,Reds,46,-0.04,-0.75, ,-0.62, , , ,2.03, , ,16.95, , ,4279
David Price,Rays,186.2,0.75,1.16,0.02, , , ,4.3,-1.88, , ,1.86, , ,3184
Fernando Abad,Nationals,37.2,0.37,-0.1, , , , , ,5.35,-0.83, ,-2.01, , ,4994
Jeanmar Gomez,Pirates,80.2,-0.35, ,0.95, , ,1.1,-0.54,-1.72, , ,0.81, , ,9033
Pat Neshek,Athletics,40.1, , , , , ,-2.46,0.46, , , ,-2.77, , ,4682
Kyle Lohse,Brewers,198.2,0.41, , , , ,-0.07,0.42,0.28, , ,1.12, , ,739
Gio Gonzalez,Nationals,195.2,0.36,-0.47, , , , , ,1.1, , ,1, , ,7448
Mike Leake,Reds,192.1,0.92, ,-0.04, , ,-0.3,-1.22,2.35, , ,-0.78, , ,10130
Fernando Rodney,Rays,66.2,-0.2,0.09, , , , , , , , ,1.17, , ,494
Rhiner Cruz,Astros,21.1,-0.66,-0.7, , , , ,-3.3, , , ,0.55, , ,711
Aaron Crow,Royals,48,-1.64,3.28, , , , ,0.98,-6.58, , ,-2.85, , ,10149
Sean Henn,Mets,2.2,-2.44, , , , , ,-0.4, , , ,-1.76, , ,2147
Nathan Eovaldi,Marlins,106.1,1.25,0,-0.66, , , ,-0.33,-2.44, , ,-8.45, , ,9132
Adam Warren,Yankees,77,-2.03,-3.46,2.82, , , ,1.36,1.36, , ,1.94, , ,9029
C.J. Wilson,Angels,212.1,0.71,0.45,-0.99, , , ,0.48,0.1, , ,0.02, , ,3580
Joel Peralta,Rays,71.1,2.23, ,-4.4,-1.61, , , ,2.31, , , , , ,2332
Patrick Corbin,Diamondbacks,208.1,-1.15,0.84, , , , ,1.43, , , ,-2.03, , ,9323
Zack Wheeler,Mets,100,0.85,0.2, , , , ,-0.89,-2.23, , ,-0.55, , ,10310
Derek Holland,Rangers,213,1.7, , , , ,-0.48,1.28,-0.22,-5.25, ,1.39, , ,4141
Carlos Torres,Mets,86.1,-0.18,6.83,0.57, , , ,3.53,0.95, , ,-4.7, , ,7624
Jordan Walden,Braves,47,0.67, , , , , ,1.86, , , ,1.18, , ,3271
Justin Masterson,Indians,193,-0.09, , , , ,0.25,2.26, , , ,0.86, , ,2038
Bruce Rondon,Tigers,28.2,-0.36,-2.08,-75.33, , , ,3.36, , , ,5.05, , ,5766
Bryan Morris,Pirates,65,-0.19, , , , , ,1.23,-1.29, , , , , ,10234
Justin Verlander,Tigers,218.1,0,4.03, , , , ,0.79,0.11, , ,0.29, , ,8700
Burke Badenhop,Brewers,62.1,4.52, , ,0.04, ,0.25,0.03, , , , , , ,9736
Jhoulys Chacin,Rockies,197.1,-0.06,-0.01,-0.51, , , ,2.34,0.87, , ,-0.84, , ,2608
Kevin Gregg,Cubs,62,0.23, ,2.15,-5, ,0.67,-1.09, , , , , , ,1793
Homer Bailey,Reds,209,0.84,1.29, , , , ,-0.07,-1.1,0.92, ,0.49, , ,8362
Jorge de la Rosa,Rockies,167.2,-0.76,-0.49, ,0.84, , ,1.31,-0.56, , , , , ,2047
Jose Quintana,White Sox,200,0.82,0.96, , , , ,-0.51,-0.58, , ,-1.81, , ,11423
Jeff Locke,Pirates,166.1,0.36,-1.68, , , , , ,-2.87,-0.19, ,0.81, , ,2929
John Lackey,Red Sox,189.1,-0.32,3.41,0.68, , , ,1.65,-0.87, , ,-3.1, , ,1507
