mlb_id,mlb_name,bp_id,fangraphs,fg_RE24,bp_ERA,bp_FIP,fg_xFIP,bp_cFIP,bp_DRA,fg_SIERA
592091,A.J. Achter,66919,11387,-0.11,3.27,5.43,5.51,111,5.17,5.11
150359,A.J. Burnett,493,512,-28.06,4.59,4.11,3.95,115,4.4,4
595918,A.J. Cole,68086,11467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
454560,A.J. Ellis,47564,5677,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
456167,A.J. Griffin,65757,11132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543362,A.J. Jimenez,58320,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
150229,A.J. Pierzynski,1501,746,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
572041,A.J. Pollock,60932,9256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
573109,A.J. Ramos,60504,8350,10.91,2.11,3.18,4.11,100,2.24,3.87
519263,A.J. Schugel,65910,11432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571437,Aaron Altherr,59584,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
502578,Aaron Barrett,65829,11243,-0.09,2.66,2.56,3.15,93,3.26,3.02
605156,Aaron Brooks,69523,12272,-12.11,43.88,12.16,9.57,113,35.26,5.73
543070,Aaron Crow,61058,10149,-5.37,4.12,5.43,4.65,126,4.74,4.56
488811,Aaron Cunningham,49302,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
421685,Aaron Harang,932,1451,-7.18,3.57,3.54,4.03,110,4.28,4.18
543305,Aaron Hicks,57967,5297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
431094,Aaron Hill,45430,6104,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
444836,Aaron Laffey,46279,6248,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571901,Aaron Loup,60619,10343,9.57,3.15,3.86,3.92,104,2.76,3.65
519145,Aaron Poreda,57147,4313,-3.39,5.91,3.53,3.39,95,6.78,3.18
592717,Aaron Sanchez,67107,11490,11.42,1.09,2.83,3,96,0.9,2.53
457744,Aaron Thompson,49018,999,0.52,2.45,2.34,4.17,98,3.01,3.8
501659,Abraham Almonte,50910,5486,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
543045,Adam Conley,70300,14457,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
594807,Adam Duvall,67744,#NAME?,#NAME?,#N/A,#N/A,#NAME?,#N/A,#N/A,#NAME?
594809,Adam Eaton,67746,11205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
430945,Adam Jones,45435,6368,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
150456,Adam Kennedy,884,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
425560,Adam LaRoche,31351,1904,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
571893,Adam Liberatore,66565,10637,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
452252,Adam Lind,48037,8027,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
