"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Trevor Bauer","Indians","17.0","-3.07","5.29","133","7.41","7.05","6.60","166","6.66","177","12703"
"Brandon League","Dodgers","54.1","-16.33","5.30","148","5.13","4.93","4.07","108","3.63","132","3731"
"Wade Davis","Royals","135.1","-24.20","5.32","132","5.38","4.18","4.15","105","4.27","106","7441"
"John Lannan","Phillies","74.1","-12.65","5.33","142","4.55","4.37","4.71","125","4.76","114","7080"
"Clayton Mortensen","Red Sox","30.1","-2.99","5.34","127","5.56","4.83","5.03","127","4.60","124","3166"
"Anthony Bass","Padres","42.0","-16.59","5.36","151","5.26","4.24","4.27","113","4.23","114","7982"
"Luis Mendoza","Royals","94.0","-18.55","5.36","133","5.30","4.75","4.73","119","4.86","121","3126"
"Steven Wright","Red Sox","13.1","-1.69","5.40","129","5.08","3.80","5.23","132","5.04","98","8185"
"Wade LeBlanc","- - -","55.0","-18.95","5.40","143","5.17","4.76","5.02","132","4.77","128","5221"
"Aaron Harang","- - -","143.1","-26.86","5.40","142","4.82","4.79","4.38","111","4.14","125","1451"
"Cory Rasmus","- - -","21.2","-6.26","5.40","144","6.33","6.60","5.21","133","4.50","176","2413"
"Jeremy Bonderman","- - -","55.0","-7.40","5.40","138","5.64","5.12","5.16","130","5.14","131","1667"
"Luis Perez","Blue Jays","5.0","1.98","5.40","133","2.68","1.85","2.67","67","2.59","46","6389"
"Paul Clemens","Astros","73.1","-8.23","5.40","135","5.44","5.69","5.07","128","4.55","141","8037"
"Phil Coke","Tigers","38.1","-9.63","5.40","134","4.65","4.14","4.59","116","4.42","104","5535"
"Zach Phillips","Marlins","1.2","-1.55","5.40","145","4.44","7.25","8.89","237","8.12","199","99"
"Jorge De Leon","Astros","10.0","-3.49","5.40","135","5.66","5.55","6.30","158","5.55","138","5397"
"Chang-Yong Lim","Cubs","5.0","-1.33","5.40","144","7.31","5.85","6.39","170","6.50","155","14445"
