"Name","Team","IP","RE24","ERA","ERA-","tERA","FIP","xFIP","xFIP-","SIERA","FIP-","playerid"
"Joe Nathan","Tigers","0.1","0.43","0.00","0","-2.84","-2.87","-2.87","-72","-0.58","-72","1122"
"Adam Ottavino","Rockies","10.1","6.07","0.00","0","0.47","1.49","2.35","61","1.62","36","1247"
"David Ross","Cubs","2.0","0.94","0.00","0","1.18","3.13","4.61","119","4.48","80","1551"
"Adam LaRoche","White Sox","1.0","0.42","0.00","0","-0.38","1.13","2.61","64","1.64","27","1904"
"Ryan Raburn","Indians","0.2","0.07","0.00","0","10.27","7.63","9.85","245","9.54","190","2218"
"Garrett Jones","Yankees","0.2","0.27","0.00","0","11.53","12.13","14.35","357","9.54","292","2714"
"Kyle Davies","Yankees","2.1","1.11","0.00","0","0.35","1.42","2.05","50","0.53","34","3642"
"Marcus Hatley","Cardinals","1.1","-1.42","0.00","0","3.38","4.63","4.63","119","5.61","121","4002"
"Shane Robinson","Twins","1.0","0.36","0.00","0","2.93","4.13","5.61","139","5.98","102","4249"
"Chris Denorfia","Cubs","0.1","0.09","0.00","0","1.38","3.13","3.13","81","-1.42","80","4400"
"Alexei Ramirez","White Sox","1.0","0.42","0.00","0","3.75","6.13","9.09","226","5.80","147","5133"
"Jo-Jo Reyes","Angels","0.1","0.34","0.00","0","33.41","3.13","3.13","77","5.80","80","5559"
"Leury Garcia","White Sox","1.0","0.42","0.00","0","6.26","4.13","4.13","102","1.76","99","5913"
"David Murphy","Indians","0.1","-6.56","0.00","0","30.76","60.13","34.42","857","9.94","1498","6035"
"Brendan Ryan","Yankees","2.0","1.01","0.00","0","6.71","3.13","5.35","133","6.16","75","6073"
"Cesar Cabral","Orioles","1.0","0.50","0.00","0","4.01","4.13","4.13","102","6.65","99","6741"
"Clint Robinson","Nationals","1.0","0.51","0.00","0","0.04","1.13","2.61","67","1.93","30","6908"
"Tyler Moore","Nationals","0.2","0.14","0.00","0","17.90","7.63","7.63","196","4.48","198","7244"
"Craig Stammen","Nationals","4.0","1.17","0.00","0","2.93","3.88","5.36","138","5.39","101","7274"
"Javy Guerra","White Sox","1.2","0.56","0.00","0","7.31","4.93","6.71","166","7.55","118","7407"
"Jerry Blevins","Mets","5.0","3.27","0.00","0","3.05","1.53","1.83","48","1.45","40","7841"
"Jaff Decker","Pirates","1.0","0.50","0.00","0","7.05","3.13","4.61","119","5.14","83","7945"
"Matt West","Dodgers","3.0","1.26","0.00","0","2.22","2.80","4.77","123","4.33","73","7980"
"Lucas Luetge","Mariners","2.1","1.34","0.00","0","4.94","3.99","4.62","114","5.92","101","8337"
"Ike Davis","Athletics","2.0","0.96","0.00","0","5.89","3.63","4.37","108","4.83","91","8433"
"Jenrry Mejia","Mets","7.1","3.12","0.00","0","1.49","2.04","3.45","89","3.06","53","8476"
"Michael Kohn","Braves","4.2","2.59","0.00","0","3.53","5.28","7.49","192","8.20","139","8505"
"Donovan Hand","Reds","3.0","1.50","0.00","0","4.20","3.13","3.63","93","2.75","78","8728"
"Alexi Amarista","Padres","0.1","0.48","0.00","0","0.76","3.13","7.56","194","13.01","82","9063"
