LG,TEAM,SIDE,Runs Factor
AL,LAA,LHB,89
AL,LAA,RHB,96
NL,ARI,LHB,106
NL,ARI,RHB,103
NL,ATL,LHB,91
NL,ATL,RHB,98
AL,BAL,LHB,108
AL,BAL,RHB,106
AL,BOS,LHB,105
AL,BOS,RHB,106
AL,CWS,LHB,95
AL,CWS,RHB,94
NL,CHC,LHB,91
NL,CHC,RHB,104
NL,CIN,LHB,104
NL,CIN,RHB,102
AL,CLE,LHB,105
AL,CLE,RHB,112
NL,COL,LHB,114
NL,COL,RHB,116
AL,DET,LHB,98
AL,DET,RHB,95
AL,HOU,LHB,98
AL,HOU,RHB,101
AL,KC,LHB,101
AL,KC,RHB,105
NL,LAD,LHB,97
AL,TOR,LHB,93
AL,TEX,RHB,106
AL,TEX,LHB,102
AL,TB,RHB,95
AL,TB,LHB,111
NL,STL,RHB,98
NL,STL,LHB,94
NL,SF,RHB,96
NL,SF,LHB,88
AL,SEA,RHB,96
AL,SEA,LHB,93
NL,SD,RHB,98
NL,SD,LHB,98
NL,PIT,RHB,99
NL,PIT,LHB,94
NL,PHI,RHB,102
NL,PHI,LHB,100
AL,OAK,RHB,99
AL,OAK,LHB,97
NL,NYM,RHB,89
NL,NYM,LHB,107
AL,NYY,RHB,96
AL,NYY,LHB,102
AL,MIN,RHB,99
AL,MIN,LHB,100
NL,MIL,RHB,100
NL,MIL,LHB,108
NL,MIA,RHB,93
NL,MIA,LHB,97
NL,LAD,RHB,94
NL,WSH,LHB,96
AL,TOR,RHB,98
NL,WSH,RHB,102
